"family","species","lon","lat"
"Malvaceae","Bombax costatum",2.3753,10.3397
"Malvaceae","Bombax costatum",1.209118,10.54293
"Malvaceae","Bombax costatum",3.5762,10.7869
"Malvaceae","Bombax costatum",1.166742,10.90131
"Malvaceae","Bombax costatum",3.25,11.1
"Malvaceae","Bombax costatum",1.116647,10.35089
"Malvaceae","Bombax costatum",2.8904,10.8044
"Malvaceae","Bombax costatum",3.25,10.55
"Malvaceae","Bombax costatum",2.8166,12.4
"Malvaceae","Bombax costatum",2.9033,12.2443
"Malvaceae","Bombax costatum",3.25,11.5
"Malvaceae","Bombax costatum",3.1523,10.9865
"Malvaceae","Bombax costatum",2.2333,11.3666
"Malvaceae","Bombax costatum",2.5225,11.3761
"Malvaceae","Bombax costatum",2.0867,10.5863
"Malvaceae","Bombax costatum",2.1265,10.7378
"Malvaceae","Bombax costatum",2.4367,11.3
"Malvaceae","Bombax costatum",2.0687,10.759
"Malvaceae","Bombax costatum",2.3166,11.35
"Malvaceae","Bombax costatum",1.4862,10.2852
"Malvaceae","Bombax costatum",1.488,10.9009
"Malvaceae","Bombax costatum",1.3069,10.2578
"Malvaceae","Bombax costatum",1.3176,10.6433
"Malvaceae","Bombax costatum",1.4352,10.8103
"Malvaceae","Bombax costatum",1.433333,10.2
"Malvaceae","Bombax costatum",1.2841,10.5221
"Malvaceae","Bombax costatum",1.1666,10.9
"Malvaceae","Bombax costatum",1.2085,10.5423
"Malvaceae","Bombax costatum",1.3686,10.05
"Malvaceae","Bombax costatum",1.3018,10.5958
"Malvaceae","Bombax costatum",1.1386,10.5066
"Malvaceae","Bombax costatum",1.1166,10.35
"Malvaceae","Bombax costatum",2.12469,8.315124
"Malvaceae","Bombax costatum",2.284933,7.979925
"Malvaceae","Bombax costatum",2.290775,7.988089
"Malvaceae","Bombax costatum",2.085852,8.335007
"Malvaceae","Bombax costatum",2.272222,7.98124
"Malvaceae","Bombax costatum",2.267337,7.681405
"Malvaceae","Bombax costatum",2.107287,8.325397
"Malvaceae","Bombax costatum",3.376683,11.867533
"Malvaceae","Bombax costatum",2.32495,7.734148
"Malvaceae","Bombax costatum",2.211305,7.671289
"Malvaceae","Bombax costatum",3.03772,12.200442
"Malvaceae","Bombax costatum",2.232272,7.727066
"Malvaceae","Bombax costatum",3.201656,11.899604
"Malvaceae","Bombax costatum",3.235474,11.759815
"Malvaceae","Bombax costatum",3.120117,11.813588
"Malvaceae","Bombax costatum",2.532183,11.474833
"Malvaceae","Bombax costatum",2.526517,11.384167
"Malvaceae","Bombax costatum",3.049543,11.602655
"Malvaceae","Bombax costatum",3.375033,11.417533
"Malvaceae","Bombax costatum",2.4351,11.297783
"Malvaceae","Bombax costatum",3.049422,11.301036
"Malvaceae","Bombax costatum",2.888091,11.355671
"Malvaceae","Bombax costatum",2.894382,11.318481
"Malvaceae","Bombax costatum",2.912093,11.268714
"Malvaceae","Bombax costatum",2.730819,11.268714
"Malvaceae","Bombax costatum",2.651083,11.245783
"Malvaceae","Bombax costatum",2.972518,11.214836
"Malvaceae","Bombax costatum",2.2692,9.2008
"Malvaceae","Bombax costatum",0.994,10.7279
"Malvaceae","Bombax costatum",3.4281,9.8937
"Malvaceae","Bombax costatum",2.453,10.4443
"Malvaceae","Bombax costatum",2.4289,9.2766
"Malvaceae","Bombax costatum",1.1419,10.8077
"Malvaceae","Bombax costatum",2.5941,8.888
"Malvaceae","Bombax costatum",2.1107,10.8323
"Malvaceae","Bombax costatum",3.3817,10.2901
"Malvaceae","Bombax costatum",1.479477,10.347104
"Malvaceae","Bombax costatum",2.341767,8.55657
"Malvaceae","Bombax costatum",1.652912,9.081761
"Malvaceae","Bombax costatum",2.091281,6.891491
"Malvaceae","Bombax costatum",2.895625,12.303469
"Malvaceae","Bombax costatum",1.354897,10.1126
"Malvaceae","Bombax costatum",2.18565,7.026303
"Malvaceae","Bombax costatum",1.971449,8.113534
"Malvaceae","Bombax costatum",1.927087,8.115308
"Malvaceae","Bombax costatum",2.307292,11.406658
"Malvaceae","Bombax costatum",2.637339,8.366035
"Malvaceae","Bombax costatum",2.312454,8.407562
"Malvaceae","Bombax costatum",1.293828,10.320234
"Malvaceae","Bombax costatum",2.182608,8.001743
"Malvaceae","Bombax costatum",3.145203,11.038293
"Malvaceae","Bombax costatum",1.457492,9.404203
"Malvaceae","Bombax costatum",1.43032,9.393763
"Malvaceae","Bombax costatum",2.218097,7.893502
"Malvaceae","Bombax costatum",1.477303,10.954619
"Malvaceae","Bombax costatum",1.29322,10.656182
"Malvaceae","Bombax costatum",1.424309,10.873735
"Malvaceae","Bombax costatum",1.564973,9.25031
"Malvaceae","Bombax costatum",1.496576,9.304051
"Malvaceae","Bombax costatum",1.696881,9.316264
"Malvaceae","Bombax costatum",2.266537,6.710843
"Malvaceae","Bombax costatum",3.187737,10.724131
"Malvaceae","Bombax costatum",3.16559,10.712024
"Malvaceae","Bombax costatum",3.080794,10.873324
"Malvaceae","Bombax costatum",3.081987,10.92075
"Malvaceae","Bombax costatum",3.109804,10.862181
"Malvaceae","Bombax costatum",3.041936,10.752448
"Malvaceae","Bombax costatum",2.975973,10.858302
"Malvaceae","Bombax costatum",2.797613,10.763961
"Malvaceae","Bombax costatum",2.966929,10.818824
"Malvaceae","Bombax costatum",3.124425,10.817245
"Malvaceae","Bombax costatum",2.800965,10.799326
